,Metrics_Repr,Method_Repr,DC,NV,SDW,IOT,NT,Representativeness
75,3,3,2.0,1.5,1.5,1.0,1.0,2.466666666666667
76,3,3,2.5,1.0,2.5,2.0,1.5,2.6333333333333333
77,3,3,2.5,1.5,1.5,0.5,1.0,2.466666666666667
78,0,0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333
79,0,0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333
80,3,3,2.5,1.5,2.0,1.0,1.0,2.533333333333333
81,1,0,2.0,1.5,1.5,0.5,1.0,0.7666666666666666
82,3,3,2.0,1.5,1.5,1.0,1.0,2.466666666666667
83,3,3,1.5,1.5,2.0,1.5,1.0,2.5
84,3,3,2.0,1.5,2.0,1.0,1.0,2.5
85,3,3,2.0,1.5,1.5,0.5,1.0,2.433333333333333
86,3,3,1.5,1.5,1.5,0.5,1.0,2.4
87,1,1,2.5,1.0,1.5,1.0,1.5,1.1666666666666667
88,3,3,1.0,1.0,1.0,1.5,1.5,2.4
89,3,3,1.5,1.5,1.5,0.5,1.0,2.4
90,3,3,1.5,1.5,1.5,1.0,1.0,2.433333333333333
91,3,1,2.5,1.0,1.5,1.0,1.5,1.8333333333333333
92,3,1,3.0,1.5,2.5,2.0,1.0,2.0
93,1,1,1.0,1.0,1.0,1.0,1.5,1.0333333333333334
94,3,1,2.0,1.5,2.0,1.5,1.0,1.8666666666666665
95,3,1,2.5,1.5,2.0,1.0,1.0,1.8666666666666665
96,3,3,1.5,1.5,1.5,0.5,1.0,2.4
97,1,3,1.0,1.0,1.0,0.5,1.5,1.6666666666666667
98,3,3,1.5,1.0,1.0,0.5,1.5,2.3666666666666667
99,3,3,2.0,1.5,1.5,1.0,1.0,2.466666666666667
100,1,3,2.0,1.5,1.5,0.5,1.0,1.7666666666666666
101,1,3,1.5,1.5,1.5,1.0,1.0,1.7666666666666666
102,1,3,1.5,1.5,1.5,0.5,1.0,1.7333333333333334
103,3,3,2.0,1.5,2.0,1.5,1.0,2.533333333333333
104,3,1,1.0,1.0,1.0,1.0,1.5,1.7
105,3,3,1.5,1.0,1.5,1.0,1.5,2.433333333333333
106,3,3,2.0,1.5,1.5,0.5,1.0,2.433333333333333
