Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"A Proposed Dynamic Hybrid-Based Load Balancing Algorithm to Improve Resources Utilization in SDN Environment","New Trends in Information and Communications Technology Applications","","","","10.1007/978-3-030-93417-0_10","Haeeder Munther NomanMahdi Nsaif Jasim","2021","http://link.springer.com/chapter/10.1007/978-3-030-93417-0_10","Chapter"
"Machine Learning as a Means to Adapt Requirement Changes for SDN Deployment Process in SDN Migration","Advances in Computational Intelligence","","","","10.1007/978-3-030-20518-8_52","Siew Hong WeiTan Saw ChinJason Ng BinlunLee Ching KwangRizaluddin KapsinZulfadzli Yusoff","2019","http://link.springer.com/chapter/10.1007/978-3-030-20518-8_52","Chapter"
"Integrated SDN and Non-SDN Network Management Approaches for Future Internet Environment","Multimedia and Ubiquitous Engineering","","","","10.1007/978-94-007-6738-6_64","Dongkyun KimJoon-Min GilGicheol WangSeung-Hae Kim","2013","http://link.springer.com/chapter/10.1007/978-94-007-6738-6_64","Chapter"
"Performance Evaluation of Openflow SDN Controllers","Intelligent Systems Design and Applications","","","","10.1007/978-3-319-76348-4_87","Sangeeta Mittal","2018","http://link.springer.com/chapter/10.1007/978-3-319-76348-4_87","Chapter"
"Deep Reinforcement Learning Based Task Offloading in SDN-Enabled Industrial Internet of Things","Artificial Intelligence for Communications and Networks","","","","10.1007/978-3-030-22971-9_37","Jiadai WangYurui CaoJiajia LiuYanning Zhang","2019","http://link.springer.com/chapter/10.1007/978-3-030-22971-9_37","Chapter"
"Hybrid SDN Deployment Using Machine Learning","Computational Science and Technology","","","","10.1007/978-981-33-4069-5_19","H. W. SiewS. C. TanC. K. Lee","2021","http://link.springer.com/chapter/10.1007/978-981-33-4069-5_19","Chapter"
"Evaluation of Underlying Switching Mechanism for Future Networks with P4 and SDN (Workshop Paper)","Collaborative Computing: Networking, Applications and Worksharing","","","","10.1007/978-3-030-30146-0_38","O. A. FernandoHannan XiaoXianhui Che","2019","http://link.springer.com/chapter/10.1007/978-3-030-30146-0_38","Chapter"
"Hybrid Routing for Efficient Fine-Grained Management of Specific Services in SDN","Science of Cyber Security","","","","10.1007/978-3-031-17551-0_11","Kun JiaJiazhi LiuWen WangFeng Liu","2022","http://link.springer.com/chapter/10.1007/978-3-031-17551-0_11","Chapter"
"A Novel Congestion Avoidance Algorithm Using Two Routing Algorithms and Fast-Failover Group Table in SDN Networks","Selected Papers from the 12th International Networking Conference","","","","10.1007/978-3-030-64758-2_11","Seyed Hossein Mousavi NejadMohammad Reza Majma","2021","http://link.springer.com/chapter/10.1007/978-3-030-64758-2_11","Chapter"
"One-Dimensional Convolutional Neural Network for Detection and Mitigation of DDoS Attacks in SDN","Machine Learning for Networking","","","","10.1007/978-3-030-98978-1_2","Abdullah Alshra’aSeitz Jochen","2022","http://link.springer.com/chapter/10.1007/978-3-030-98978-1_2","Chapter"
"The Benefits of SDN Integration on 5G Mobile Network","Advanced Intelligent Systems for Sustainable Development (AI2SD’2019)","","","","10.1007/978-3-030-33103-0_27","Souad FaidMohamed Moughit","2020","http://link.springer.com/chapter/10.1007/978-3-030-33103-0_27","Chapter"
"6LoWSD: A Protocol Platform for Interoperability Between SDN and IoT","Advances in Computational Intelligence, Security and Internet of Things","","","","10.1007/978-981-15-3666-3_23","Wanbanker KhongbuhGoutam Saha","2020","http://link.springer.com/chapter/10.1007/978-981-15-3666-3_23","Chapter"
"CloudSDN: Enabling SDN Framework for Security and Threat Analytics in Cloud Networks","Ubiquitous Communications and Network Computing","","","","10.1007/978-3-030-20615-4_12","Prabhakar KrishnanKrishnashree Achuthan","2019","http://link.springer.com/chapter/10.1007/978-3-030-20615-4_12","Chapter"
"Source Encryption Scheme in SDN Southbound","Advanced Hybrid Information Processing","","","","10.1007/978-3-030-19086-6_61","Yanlei WangShihui ZhengLize GuYongmei Cai","2019","http://link.springer.com/chapter/10.1007/978-3-030-19086-6_61","Chapter"
"High Level Policies in SDN","E-Business and Telecommunications","","","","10.1007/978-3-319-30222-5_2","Libor PolčákLeo CaldarolaAmine ChoukirDavide CudaMarco DonderoDomenico FicaraBarbora FrankováMartin HolkovičRoberto MucciforaAntonio Trifilo","2016","http://link.springer.com/chapter/10.1007/978-3-319-30222-5_2","Chapter"
"Towards H-SDN Traffic Analytic Through Visual Analytics and Machine Learning","Security, Privacy, and Anonymity in Computation, Communication, and Storage","","","","10.1007/978-3-030-24907-6_10","Tin Tze ChiangTan Saw ChinLee Ching KwangY. ZulfadzliK. Rizaludin","2019","http://link.springer.com/chapter/10.1007/978-3-030-24907-6_10","Chapter"
"SecControl: Bridging the Gap Between Security Tools and SDN Controllers","Security and Privacy in Communication Networks","","","","10.1007/978-3-319-78816-6_2","Li WangDinghao Wu","2018","http://link.springer.com/chapter/10.1007/978-3-319-78816-6_2","Chapter"
"SDN Rootkits: Subverting Network Operating Systems of Software-Defined Networks","Research in Attacks, Intrusions, and Defenses","","","","10.1007/978-3-319-26362-5_16","Christian RöpkeThorsten Holz","2015","http://link.springer.com/chapter/10.1007/978-3-319-26362-5_16","Chapter"
"Analysis and Performance Evaluation of Different Methods to Achieve Way-Point Enforcement in Hybrid SDN","Web, Artificial Intelligence and Network Applications","","","","10.1007/978-3-030-44038-1_18","Sandhya RatheeK. HaribabuParth PatelAshutosh BhatiaUjjwal Gandhi","2020","http://link.springer.com/chapter/10.1007/978-3-030-44038-1_18","Chapter"
"Correction to: Topology Validator - Defense Against Topology Poisoning Attack in SDN","Quality, Reliability, Security and Robustness in Heterogeneous Systems","","","","10.1007/978-3-030-91424-0_21","Abhay KumarSandeep Shukla","2021","http://link.springer.com/chapter/10.1007/978-3-030-91424-0_21","Chapter"
"Integrity, Resilience and Security of 5G Transport Networks Based on SDN/NFV Technologies","Distributed Computer and Communication Networks","","","","10.1007/978-3-030-97110-6_9","I. BuzhinM. BessonovY. MironovM. P. Farkhadov","2022","http://link.springer.com/chapter/10.1007/978-3-030-97110-6_9","Chapter"
"SDN-Enabled Secure IoT Architecture Development: A Review","Inventive Communication and Computational Technologies","","","","10.1007/978-981-16-5529-6_47","Shikhar BhardwajSandeep Harit","2022","http://link.springer.com/chapter/10.1007/978-981-16-5529-6_47","Chapter"
"5G-Slicing of EVs Services: A Latency Analysis Model Based on Decentralized SDN-Fog Architecture","Advances in Computing Systems and Applications","","","","10.1007/978-3-031-12097-8_12","Djabir Abdeldjali ChekiredLyes Khoukhi","2022","http://link.springer.com/chapter/10.1007/978-3-031-12097-8_12","Chapter"
"Developing an Asynchronous Technique to Evaluate the Performance of SDN HP Aruba Switch and OVS","Intelligent Computing","","","","10.1007/978-3-030-01177-2_41","Ameer Mosa Al-SadiAli Al-SherbazJames XueScott Turner","2019","http://link.springer.com/chapter/10.1007/978-3-030-01177-2_41","Chapter"
"Investigation of Impacts on Network Performance in the Advance of a Microservice Design","Cloud Computing and Services Science","","","","10.1007/978-3-319-62594-2_10","Nane KratzkePeter-Christian Quint","2017","http://link.springer.com/chapter/10.1007/978-3-319-62594-2_10","Chapter"
"SDN-based Dynamic Policy Specification and Enforcement for Provisioning SECaaS in Cloud","Web Information Systems Engineering – WISE 2017","","","","10.1007/978-3-319-68786-5_44","Uday TupakulaVijay VaradharajanKallol Karmakar","2017","http://link.springer.com/chapter/10.1007/978-3-319-68786-5_44","Chapter"
"Performance Comparison of Various Controllers in Different SDN Topologies","Expert Clouds and Applications","","","","10.1007/978-981-16-2126-0_26","B. KeerthanaMamatha BalachandraHarishchandra HebbarBalachandra Muniyal","2022","http://link.springer.com/chapter/10.1007/978-981-16-2126-0_26","Chapter"
"Joint Routing and Bitrate Adjustment for DASH Video via Neuro-Dynamic Programming in SDN","Neural Information Processing","","","","10.1007/978-3-319-46687-3_46","Kunjie ZhuJunchao JiangBowen YangWeizhe CaiJian Yang","2016","http://link.springer.com/chapter/10.1007/978-3-319-46687-3_46","Chapter"
"Application of Smell Detection Agent Based Algorithm for Optimal Path Identification by SDN Controllers","Advances in Swarm Intelligence","","","","10.1007/978-3-319-61833-3_53","R. Ananthalakshmi AmmalP. C. SajimonS. S. Vinodchandra","2017","http://link.springer.com/chapter/10.1007/978-3-319-61833-3_53","Chapter"
"Preventing DNS Amplification Attacks Using the History of DNS Queries with SDN","Computer Security – ESORICS 2017","","","","10.1007/978-3-319-66399-9_8","Soyoung KimSora LeeGeumhwan ChoMuhammad Ejaz AhmedJaehoon (Paul) JeongHyoungshick Kim","2017","http://link.springer.com/chapter/10.1007/978-3-319-66399-9_8","Chapter"
"Combinatorial Test Perspective on Test Design of SDN Controllers","Proceedings of Second International Conference on Sustainable Expert Systems","","","","10.1007/978-981-16-7657-4_6","Rekha JayaramR. Krishnan","2022","http://link.springer.com/chapter/10.1007/978-981-16-7657-4_6","Chapter"
"A Novel Solution for Controller Based Software Defined Network (SDN)","Social Transformation – Digital Way","","","","10.1007/978-981-13-1343-1_10","Parinita DuttaRajeev Chatterjee","2018","http://link.springer.com/chapter/10.1007/978-981-13-1343-1_10","Chapter"
"A High-Performance FPGA-Based Feature Engineering Architecture for Intrusion Detection System in SDN Networks","Intelligence of Things: Technologies and Applications","","","","10.1007/978-3-031-15063-0_24","Tran Hoang Quoc BaoLong Tan LeTran Ngoc ThinhCong-Kha Pham","2022","http://link.springer.com/chapter/10.1007/978-3-031-15063-0_24","Chapter"
"Identification of 5G Network Complexity Using SDN","Advances in Computational Intelligence and Communication Technology","","","","10.1007/978-981-16-9756-2_12","Neetu FaujdarRuchi AgrawalAnkush Agarwal","2022","http://link.springer.com/chapter/10.1007/978-981-16-9756-2_12","Chapter"
"Performance Analysis of Impact of Network Topologies on Different Controllers in SDN","International Conference on Innovative Computing and Communications","","","","10.1007/978-981-15-5148-2_63","Dharmender KumarManu Sood","2021","http://link.springer.com/chapter/10.1007/978-981-15-5148-2_63","Chapter"
"Software Defined Networking (SDN) for Universal Access","Emerging Technologies for Developing Countries","","","","10.1007/978-3-030-05198-3_12","Adama NantoumeBenjamin KoneAhmed Dooguy KoraBoudal Niang","2019","http://link.springer.com/chapter/10.1007/978-3-030-05198-3_12","Chapter"
"A Switch-Prioritized Load-Balancing Technique in SDN","Data Analytics and Learning","","","","10.1007/978-981-13-2514-4_4","K. A. VaniJ. Prathima MabelK. N. Rama Mohan Babu","2019","http://link.springer.com/chapter/10.1007/978-981-13-2514-4_4","Chapter"
"Multipath Based Privacy Protection Method for Data Transmission in SDN","Artificial Intelligence for Communications and Networks","","","","10.1007/978-3-030-22971-9_11","Na DongZhigeng HanLiangmin Wang","2019","http://link.springer.com/chapter/10.1007/978-3-030-22971-9_11","Chapter"
"Intelligent Node Placement for Improving Traffic Engineering in Hybrid SDN","Advances in Communication, Devices and Networking","","","","10.1007/978-981-16-2911-2_31","Mir Wajahat HussainDiptendu Sinha Roy","2022","http://link.springer.com/chapter/10.1007/978-981-16-2911-2_31","Chapter"
"Machine Learning Based SDN-enabled Distributed Denial-of-Services Attacks Detection and Mitigation System for Internet of Things","Machine Learning for Cyber Security","","","","10.1007/978-3-030-62223-7_16","Muhammad AslamDengpan YeMuhammad HanifMuhammad Asad","2020","http://link.springer.com/chapter/10.1007/978-3-030-62223-7_16","Chapter"
"Biomedical Engineering Instrumentation Research Collaboration between Universiti Kuala Lumpur, deNuo Sdn. Bhd. and Flinders University, Australia","World Congress on Medical Physics and Biomedical Engineering, September 7 - 12, 2009, Munich, Germany","","","","10.1007/978-3-642-03893-8_55","S. R. MukhtarN. H. HarunR. JaafarZ. Abdul Kadir BaktiM. N. TalibM. A. RoselanZ. Ibrahim","2009","http://link.springer.com/chapter/10.1007/978-3-642-03893-8_55","Chapter"
"Covert Channels in SDN: Leaking Out Information from Controllers to End Hosts","Security and Privacy in Communication Networks","","","","10.1007/978-3-030-37228-6_21","Jiahao CaoKun SunQi LiMingwei XuZijie YangKyung Joon KwakJason Li","2019","http://link.springer.com/chapter/10.1007/978-3-030-37228-6_21","Chapter"
"DDoS Detection in ONOS SDN Controller Using Snort","ICT with Intelligent Applications","","","","10.1007/978-981-19-3571-8_17","Mukesh KumarAbhinav Bhandari","2023","http://link.springer.com/chapter/10.1007/978-981-19-3571-8_17","Chapter"
"A Plug-in Framework for Efficient Multicast Using SDN","Wireless Internet","","","","10.1007/978-3-030-52988-8_24","Yu ZhangTim HumernbrumSergei Gorlatch","2020","http://link.springer.com/chapter/10.1007/978-3-030-52988-8_24","Chapter"
"SDN Framework for Securing IoT Networks","Ubiquitous Communications and Network Computing","","","","10.1007/978-3-319-73423-1_11","Prabhakar KrishnanJisha S. NajeemKrishnashree Achuthan","2018","http://link.springer.com/chapter/10.1007/978-3-319-73423-1_11","Chapter"
"DDoS Attack and Defense in SDN-Based Cloud","Ubiquitous Networking","","","","10.1007/978-3-030-86356-2_13","Safaa MahrachAbdelkrim Haqiq","2021","http://link.springer.com/chapter/10.1007/978-3-030-86356-2_13","Chapter"
"Centralized Control Signature-Based Firewall and Statistical-Based Network Intrusion Detection System (NIDS) in Software Defined Networks (SDN)","Emerging Research in Computing, Information, Communication and Applications","","","","10.1007/978-81-322-2550-8_48","Bhimshankar ManturAbhijeet DesaiK. S. Nagegowda","2015","http://link.springer.com/chapter/10.1007/978-81-322-2550-8_48","Chapter"
"High Availability Model Development for MANET Based on SDN","Advances in Intelligent Networking and Collaborative Systems","","","","10.1007/978-3-031-40971-4_39","Q. C. ZhuX. O. SongZ. Y. Zhang","2023","http://link.springer.com/chapter/10.1007/978-3-031-40971-4_39","Chapter"
"CMFR-CMQ: Congestion Management and Control Message Quenching Based on Flow Setup Requests in SDN-WISE","e-Infrastructure and e-Services for Developing Countries","","","","10.1007/978-3-031-06374-9_23","Achille GoMahamadi BoulouTiguiane YélémouHamadoun Tall","2022","http://link.springer.com/chapter/10.1007/978-3-031-06374-9_23","Chapter"
"Extended Security in Heterogeneous Distributed SDN Architecture","Advances in Communication and Computational Technology","","","","10.1007/978-981-15-5341-7_75","Sugandhi MidhaKhushboo Tripathi","2021","http://link.springer.com/chapter/10.1007/978-981-15-5341-7_75","Chapter"
"Adaptive Network Security Service Orchestration Based on SDN/NFV","Information Security Applications","","","","10.1007/978-3-030-89432-0_19","Priyatham GantaKicho YuDharma Dheeraj ChintalaYounghee Park","2021","http://link.springer.com/chapter/10.1007/978-3-030-89432-0_19","Chapter"
"Evaluating Resource Saturation Attack During Controller-Switch Communication in SDN","International Conference on Intelligent Data Communication Technologies and Internet of Things (ICICI) 2018","","","","10.1007/978-3-030-03146-6_181","S. SujithaM. S. K. ManikandanR. Guru Roja","2019","http://link.springer.com/chapter/10.1007/978-3-030-03146-6_181","Chapter"
"Performance Appraisal of 6LoWPAN and OpenFlow in SDN Enabled Edge-Based IoT Network","Advanced Computational Paradigms and Hybrid Intelligent Computing","","","","10.1007/978-981-16-4369-9_3","Rohit Kumar DasMonica JhaSubash Harizan","2022","http://link.springer.com/chapter/10.1007/978-981-16-4369-9_3","Chapter"
"Optimizing MPLS Tunnel Creation Performance by Using SDN","Soft Computing and Signal Processing","","","","10.1007/978-981-13-3393-4_54","Snehal PatilMansi S. Subhedar","2019","http://link.springer.com/chapter/10.1007/978-981-13-3393-4_54","Chapter"
"SEA: SDN-Based Evolution Architecture for 5G Network","Communications and Networking","","","","10.1007/978-3-319-78130-3_27","Chen HeXiaofeng Qiu","2018","http://link.springer.com/chapter/10.1007/978-3-319-78130-3_27","Chapter"
"SDN-Based Approaches for Heterogeneity and Interoperability in Internet of Things: An Overview","Distributed Sensing and Intelligent Systems","","","","10.1007/978-3-030-64258-7_42","Sihem BenkhaledMounir HemamMoufida Maimour","2022","http://link.springer.com/chapter/10.1007/978-3-030-64258-7_42","Chapter"
"A New SDN Architecture Based on Trust Management and Access Control for IoT","Web, Artificial Intelligence and Network Applications","","","","10.1007/978-3-030-44038-1_23","Nadia KammounRyma AbassiSihem Guemara El FatmiMohamed Mosbah","2020","http://link.springer.com/chapter/10.1007/978-3-030-44038-1_23","Chapter"
"Multi-layer Access Control for SDN-Based Telco Clouds","Secure IT Systems","","","","10.1007/978-3-319-26502-5_14","Bernd JägerChristian RöpkeIris AdamThorsten Holz","2015","http://link.springer.com/chapter/10.1007/978-3-319-26502-5_14","Chapter"
"Leveraging SDN for Smart City Applications Support","Distributed Computing for Emerging Smart Networks","","","","10.1007/978-3-030-65810-6_6","Emna RbiiImen Jemili","2020","http://link.springer.com/chapter/10.1007/978-3-030-65810-6_6","Chapter"
"Quality of Experience Estimation for Video Service Delivery Based on SDN Core Network","Internet of Things, Smart Spaces, and Next Generation Networks and Systems","","","","10.1007/978-3-319-67380-6_65","Maria MakolkinaAmmar MuthannaSteve Manariyo","2017","http://link.springer.com/chapter/10.1007/978-3-319-67380-6_65","Chapter"
"A Vulnerability Detection Method for SDN with Optimized Fuzzing","Advanced Information Networking and Applications","","","","10.1007/978-3-031-28451-9_46","Xiaofeng ChiBingquan WangJingling ZhaoBaojiang Cui","2023","http://link.springer.com/chapter/10.1007/978-3-031-28451-9_46","Chapter"
"A Trust-Based Handover Authentication in an SDN 5G Heterogeneous Network","Computer Networks and Inventive Communication Technologies","","","","10.1007/978-981-16-3728-5_63","D. SangeethaS. SelviA. Keerthana","2022","http://link.springer.com/chapter/10.1007/978-981-16-3728-5_63","Chapter"
"Load Balancing in Heterogeneous Network with SDN: A Survey","Wireless Sensor Networks","","","","10.1007/978-981-16-8174-5_19","Jingbo LiLi MaYingxun FuDongchao MaAiling Xiao","2021","http://link.springer.com/chapter/10.1007/978-981-16-8174-5_19","Chapter"
"CROCUS: An Objective Approach for SDN Controllers Security Assessment","Security and Privacy in Communication Networks","","","","10.1007/978-3-030-90019-9_22","Carlos SilvaBruno SousaJoão P. Vilela","2021","http://link.springer.com/chapter/10.1007/978-3-030-90019-9_22","Chapter"
"Optimization Algorithm for IPTV Video Service Delivery over SDN Using MEC Technology","Internet of Things, Smart Spaces, and Next Generation Networks and Systems","","","","10.1007/978-3-030-01168-0_38","Steve ManariyoAbdukodir KhakimovDarya PyatkinaAmmar Muthanna","2018","http://link.springer.com/chapter/10.1007/978-3-030-01168-0_38","Chapter"
"Eliminating Duplicated Paths to Reduce Computational Cost of Rule Generation by Using SDN","Computational Science and Its Applications – ICCSA 2014","","","","10.1007/978-3-319-09153-2_45","Jae-Hwa SimSung-Hwan KimMin-Woo ParkTai-Myoung Chung","2014","http://link.springer.com/chapter/10.1007/978-3-319-09153-2_45","Chapter"
"Survey of Mininet Challenges, Opportunities, and Application in Software-Defined Network (SDN)","Information and Communication Technology for Intelligent Systems","","","","10.1007/978-981-15-7062-9_21","Dhruvkumar DholakiyaTanmay KshirsagarAmit Nayak","2021","http://link.springer.com/chapter/10.1007/978-981-15-7062-9_21","Chapter"
"A Simplified and Effective Solution for Hybrid SDN Network Deployment","Network and System Security","","","","10.1007/978-3-030-92708-0_9","Haisheng YuWenyong WangYan LiuLihong ChengSai Zou","2021","http://link.springer.com/chapter/10.1007/978-3-030-92708-0_9","Chapter"
"Cyber-Attack Prevention Based on Modified LVQ in SDN Using Neural Networks","Applied Computational Technologies","","","","10.1007/978-981-19-2719-5_52","P. B. Arun PrasadV. Mohan","2022","http://link.springer.com/chapter/10.1007/978-981-19-2719-5_52","Chapter"
"Multi-constraint QoS Disjoint Multipath Routing in SDN","Computing, Communication and Signal Processing","","","","10.1007/978-981-13-1513-8_40","Manan DoshiAayush KamdarKrishna Kansara","2019","http://link.springer.com/chapter/10.1007/978-981-13-1513-8_40","Chapter"
"Toward a Secure Industry 4.0: An SDN-Assisted Approach “SSI4”","Science, Engineering Management and Information Technology","","","","10.1007/978-3-031-40395-8_27","Sara LahlouMohammed BoulmalfKarim Zkik","2023","http://link.springer.com/chapter/10.1007/978-3-031-40395-8_27","Chapter"
"Novel MITM Attacks on Security Protocols in SDN: A Feasibility Study","Information and Communications Security","","","","10.1007/978-3-319-50011-9_35","Xin WangNeng GaoLingchen ZhangZongbin LiuLei Wang","2016","http://link.springer.com/chapter/10.1007/978-3-319-50011-9_35","Chapter"
"An SDN/NFV Based Approach for Mobility Management in 5G Networks","Simulation and Modeling Methodologies, Technologies and Applications","","","","10.1007/978-3-030-35944-7_3","N. OmheniF. ZaraiB. SadounM. S. Obaidat","2020","http://link.springer.com/chapter/10.1007/978-3-030-35944-7_3","Chapter"
"A Survey on 5G Architecture and Security Scopes in SDN and NFV","Applied Information Processing Systems","","","","10.1007/978-981-16-2008-9_43","Jehan HasneenKazi Masum Sadique","2022","http://link.springer.com/chapter/10.1007/978-981-16-2008-9_43","Chapter"
"Enhanced C-RAN Architecture Supporting SDN and NFV Functionalities for D2D Communications","Distributed Computer and Communication Networks","","","","10.1007/978-3-319-51917-3_1","Antonino OrsinoGiuseppe AranitiLi WangAntonio Iera","2016","http://link.springer.com/chapter/10.1007/978-3-319-51917-3_1","Chapter"
"Extending SDN Framework for Communication Networks","Internet of Things. IoT Infrastructures","","","","10.1007/978-3-319-47075-7_58","M. SaravananArud Selvan SundaramurthyDivya SundarK. Hiba Sadia","2016","http://link.springer.com/chapter/10.1007/978-3-319-47075-7_58","Chapter"
"Dynamic Controller Deployment in SDN Networks Using ML Approach","Sustainable Communication Networks and Application","","","","10.1007/978-3-030-34515-0_33","Hemamalini ThiruvengadamRamya GopalakrishnanManoharan Rajendiran","2020","http://link.springer.com/chapter/10.1007/978-3-030-34515-0_33","Chapter"
"Performance Evaluation of SDN-WISE Against RPL-Based Ad-Hoc Wireless Sensor Network Using the Cooja Simulator","3rd International Conference on Wireless, Intelligent and Distributed Environment for Communication","","","","10.1007/978-3-030-44372-6_3","SamridhiRamiro Liscano","2020","http://link.springer.com/chapter/10.1007/978-3-030-44372-6_3","Chapter"
"SDN Based Wireless Heterogeneous Network Management","AETA 2015: Recent Advances in Electrical Engineering and Related Sciences","","","","10.1007/978-3-319-27247-4_1","Choong Seon HongS. M. Ahsan KazmiSeungil MoonNguyen Van Mui","2016","http://link.springer.com/chapter/10.1007/978-3-319-27247-4_1","Chapter"
"SDNHybridMesh: A Hybrid Routing Architecture for SDN Based Wireless Mesh Networks","Web, Artificial Intelligence and Network Applications","","","","10.1007/978-3-030-44038-1_33","Mukhtiar BanoRao Naveed Bin RaisSyed Sherjeel A. GilaniAmir Qayyum","2020","http://link.springer.com/chapter/10.1007/978-3-030-44038-1_33","Chapter"
"Simulation of QoS Routing Algorithm Based on SDN Framework","Cyber Security Intelligence and Analytics","","","","10.1007/978-3-030-15235-2_69","Zhaochenzi ZhangYanfang Fu","2020","http://link.springer.com/chapter/10.1007/978-3-030-15235-2_69","Chapter"
"A Security-Aware Trust-Based SLA Framework Using SDN in Cloud Environment","Innovations in Electronics and Communication Engineering","","","","10.1007/978-981-13-3765-9_48","H. M. AnithaP. Jayarekha","2019","http://link.springer.com/chapter/10.1007/978-981-13-3765-9_48","Chapter"
"IPsec and IKE as Functions in SDN Controlled Network","Network and System Security","","","","10.1007/978-3-319-64701-2_39","Markku VajarantaJoona KannistoJarmo Harju","2017","http://link.springer.com/chapter/10.1007/978-3-319-64701-2_39","Chapter"
"Design and Implementation of SDN-Based Secure Architecture for IoT-Lab","Artificial Intelligence and Applied Mathematics in Engineering Problems","","","","10.1007/978-3-030-36178-5_76","Enis KaraarslanEren KarabacakCihat Cetinkaya","2020","http://link.springer.com/chapter/10.1007/978-3-030-36178-5_76","Chapter"
"Model-Based Performance Predictions for SDN-Based Networks: A Case Study","Measurement, Modelling and Evaluation of Computing Systems","","","","10.1007/978-3-030-43024-5_6","Stefan HerrnlebenPiotr RygielskiJohannes GrohmannSimon EismannTobias HoßfeldSamuel Kounev","2020","http://link.springer.com/chapter/10.1007/978-3-030-43024-5_6","Chapter"
"Statistical Influence of Parameters on the Performance of SDN","Communication and Intelligent Systems","","","","10.1007/978-981-99-2322-9_27","Deepjyot Kaur RyaitManmohan Sharma","2023","http://link.springer.com/chapter/10.1007/978-981-99-2322-9_27","Chapter"
"Balancing the QOS and Security in Dijkstra Algorithm by SDN Technology","Network and Parallel Computing","","","","10.1007/978-3-030-05677-3_11","Zhao JinJingLing PangXiaohui KuangRong Jin","2018","http://link.springer.com/chapter/10.1007/978-3-030-05677-3_11","Chapter"
"Internet Traffic Prediction in SDN Using RF and XGB","Advances in Computational and Bio-Engineering","","","","10.1007/978-3-030-46943-6_18","Sarika NyaramneniM. A. SaifullaSankalp Singh Mehra","2020","http://link.springer.com/chapter/10.1007/978-3-030-46943-6_18","Chapter"
