Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type,Abstract
Minimizing User Connectivity Costs and Latency Between Controllers and Switch-Controllers for Software Defined Networking,Mobile Web and Intelligent Information Systems,,,,10.1007/978-3-031-39764-6_7,Andres ViverosPablo AdasmeAli Dehghan Firoozabadi,2023,http://link.springer.com/chapter/10.1007/978-3-031-39764-6_7,Chapter,
The Impact of Control Plane Attacks in Software Defined Networks Environments,Proceedings of ICACTCE'23 — The International Conference on Advances in Communication Technology and Computer Engineering,,,,10.1007/978-3-031-37164-6_5,M. Anand KumarSenthilkumar MuthusamyMohamed AshikR. KarthikeyanB. Sundaravadivazhagan,2023,http://link.springer.com/chapter/10.1007/978-3-031-37164-6_5,Chapter,
Software Defined Networking Concept (SDN)  Based on Artificial Intelligence: Taxonomy of  Methods and Future Directions,Advances on Intelligent Computing and Data Science,,,,10.1007/978-3-031-36258-3_20,Rihane AbderrahmanFaysal BensalahYassine MalehBaddi YoussefYouness Bouzekri,2023,http://link.springer.com/chapter/10.1007/978-3-031-36258-3_20,Chapter,
Impacts of DDoS Attacks in Software-Defined Networks,ICT with Intelligent Applications,,,,10.1007/978-981-19-3571-8_14,Jagdeep SinghSunny Behal,2023,http://link.springer.com/chapter/10.1007/978-981-19-3571-8_14,Chapter,
A Comparative Review Analysis of OpenFlow and P4 Protocols Based on Software Defined Networks,Data Intelligence and Cognitive Informatics,,,,10.1007/978-981-19-6004-8_53,Lincoln S. PeterHlabi KoboViranjay M. Srivastava,2023,http://link.springer.com/chapter/10.1007/978-981-19-6004-8_53,Chapter,
Traffic Classification in Software-Defined Networking by Employing Deep Learning Techniques: A Systematic Literature Review,Technologies and Innovation,,,,10.1007/978-3-031-45682-4_6,Daniel Nuñez-AgurtoWalter FuertesLuis MarroneEduardo Benavides-AstudilloMitchell Vásquez-Bermúdez,2023,http://link.springer.com/chapter/10.1007/978-3-031-45682-4_6,Chapter,
An Efficient Intrusion Detection Framework in Software-Defined Networking for Cyber Security Applications,Soft Computing and Signal Processing,,,,10.1007/978-981-19-8669-7_40,Meruva Sandhya VaniRajupudi Durga DeviDeena Babu Mandru,2023,http://link.springer.com/chapter/10.1007/978-981-19-8669-7_40,Chapter,
UDP Flooding Attack Detection Using Entropy in Software-Defined Networking,Proceedings of International Conference on Communication and Computational Technologies,,,,10.1007/978-981-19-3951-8_42,S. MuthurajkumarA. GeethaS. AravindH. Barakath Meharajnisa,2023,http://link.springer.com/chapter/10.1007/978-981-19-3951-8_42,Chapter,
A Study on Reinforcement Learning-Based Traffic Engineering in Software-Defined Networks,Computer Networks and Inventive Communication Technologies,,,,10.1007/978-981-19-3035-5_4,A. BhavaniY. EkshithaA. MounikaU. Prabu,2023,http://link.springer.com/chapter/10.1007/978-981-19-3035-5_4,Chapter,
Improving the Efficiency of WebRTC Layered Simulcast Using Software Defined Networking,"Broadband Communications, Networks, and Systems",,,,10.1007/978-3-031-40467-2_2,Agnieszka ChodorekRobert R. ChodorekKrzysztof Wajda,2023,http://link.springer.com/chapter/10.1007/978-3-031-40467-2_2,Chapter,
Rational Identification of Suitable Classification Models for Detecting DDoS Attacks in Software-Defined Networks,Advanced Information Networking and Applications,,,,10.1007/978-3-031-28451-9_48,Abhirath Anupam JoshiK. Haribabu,2023,http://link.springer.com/chapter/10.1007/978-3-031-28451-9_48,Chapter,
Traffic Classification of Software-Defined Networks Using Machine Learning,ICT Infrastructure and Computing,,,,10.1007/978-981-99-4932-8_1,Sudarshan JoshiSuneeta V. Budihal,2023,http://link.springer.com/chapter/10.1007/978-981-99-4932-8_1,Chapter,
Deep Learning-Based Detection of Cyberattacks in Software-Defined Networks,Digital Forensics and Cyber Crime,,,,10.1007/978-3-031-36574-4_20,Seyed Mohammad Hadi MirsadeghiHayretdin BahsiWissem Inbouli,2023,http://link.springer.com/chapter/10.1007/978-3-031-36574-4_20,Chapter,
Statistical Influence of Parameters on the Performance of SDN,Communication and Intelligent Systems,,,,10.1007/978-981-99-2322-9_27,Deepjyot Kaur RyaitManmohan Sharma,2023,http://link.springer.com/chapter/10.1007/978-981-99-2322-9_27,Chapter,
Performance Evaluation of SDN Controllers,Inventive Communication and Computational Technologies,,,,10.1007/978-981-99-5166-6_68,Deepjyot Kaur RyaitManmohan Sharma,2023,http://link.springer.com/chapter/10.1007/978-981-99-5166-6_68,Chapter,
Malicious Packet Injection on Software-Defined Networking as a Strategy to Improve Security,Proceedings of Seventh International Congress on Information and Communication Technology,,,,10.1007/978-981-19-2397-5_1,Mmamphotha Tumelo RalekgokgoMthulisi VelempiniSemaka Sekgoari Mapunya,2023,http://link.springer.com/chapter/10.1007/978-981-19-2397-5_1,Chapter,
Machine Learning-Based DDoS Attack Detection in Software-Defined Networking,New Trends in Information and Communications Technology Applications,,,,10.1007/978-3-031-35442-7_14,Mohammed Ibrahim KareemMahdi Nsaif Jasim,2023,http://link.springer.com/chapter/10.1007/978-3-031-35442-7_14,Chapter,
A Serverless Computing Platform for Software Defined Networks,"Economics of Grids, Clouds, Systems, and Services",,,,10.1007/978-3-031-29315-3_10,Fatemeh BanaieKarim Djemame,2023,http://link.springer.com/chapter/10.1007/978-3-031-29315-3_10,Chapter,
Detection of DDoS Attacks in Software Defined Networking Using Machine Learning Models,Proceedings of the 2023 International Conference on Advances in Computing Research (ACR’23),,,,10.1007/978-3-031-33743-7_51,Ahmad HamarsheHuthaifa I. AshqarMohammad Hamarsheh,2023,http://link.springer.com/chapter/10.1007/978-3-031-33743-7_51,Chapter,
A Novel Coordinated Virtual Embedding for Software Defined Networks Using Hub-Spokes Clusters,"Proceedings of the International Conference on Internet of Things, Communication and Intelligent Technology",,,,10.1007/978-981-99-0416-7_80,Ali Akbar NasiriFarnaz DerakhshanRazieh Darshi,2023,http://link.springer.com/chapter/10.1007/978-981-99-0416-7_80,Chapter,
An Evaluation of Machine Learning Methods for Classifying Bot Traffic in Software Defined Networks,Proceedings of Third International Conference on Sustainable Expert Systems,,,,10.1007/978-981-19-7874-6_72,Joshua van StadenDane Brown,2023,http://link.springer.com/chapter/10.1007/978-981-19-7874-6_72,Chapter,
Towards Secure SDN-Based VANETs Paradigm,Artificial Intelligence and Smart Environment,,,,10.1007/978-3-031-26254-8_127,Nabil NissarNajib NajaAbdellah Jamali,2023,http://link.springer.com/chapter/10.1007/978-3-031-26254-8_127,Chapter,
"Reinforcement Learning-Based Traffic Engineering in SDN: Problem Formulation, Parameters, and Topology",Inventive Communication and Computational Technologies,,,,10.1007/978-981-19-4960-9_25,A. BhavaniY. EkshithaA. MounikaU. Prabu,2023,http://link.springer.com/chapter/10.1007/978-981-19-4960-9_25,Chapter,
Avionics System Architectures for Software-Defined Spacecraft,"Mobile Wireless Middleware, Operating Systems and Applications",,,,10.1007/978-3-031-34497-8_13,Xiongwen HeJionghui LiFan BaiXiaoyu JiaXiaofeng HuangMingwei Xu,2023,http://link.springer.com/chapter/10.1007/978-3-031-34497-8_13,Chapter,
Survey on Enabling Network Slicing Based on SDN/NFV,International Conference on Information Systems and Intelligent Applications,,,,10.1007/978-3-031-16865-9_59,Suadad S. MahdiAlharith A. Abdullah,2023,http://link.springer.com/chapter/10.1007/978-3-031-16865-9_59,Chapter,
Attack Detection in SDN Using RNN,Advances in Data-Driven Computing and Intelligent Systems,,,,10.1007/978-981-99-3250-4_44,Nisha AhujaDebajyoti MukhopadhyayLaxman SinghRajiv KumarChitvan Gupta,2023,http://link.springer.com/chapter/10.1007/978-981-99-3250-4_44,Chapter,
SDN-Enabled IoT to Combat the DDoS Attacks,Communication and Intelligent Systems,,,,10.1007/978-981-99-2100-3_3,Pooja KumariAnkit Kumar Jain,2023,http://link.springer.com/chapter/10.1007/978-981-99-2100-3_3,Chapter,
Host IP Obfuscation and Performance Analysis,Proceedings of the Second International Conference on Innovations in Computing Research (ICR’23),,,,10.1007/978-3-031-35308-6_21,Charan GudlaAndrew H. Sung,2023,http://link.springer.com/chapter/10.1007/978-3-031-35308-6_21,Chapter,
Implementation of Network Slicing for Multi-controller Environment Based on FlowVisor,New Trends in Information and Communications Technology Applications,,,,10.1007/978-3-031-35442-7_10,Suadad S. MahdiAlharith A. Abdullah,2023,http://link.springer.com/chapter/10.1007/978-3-031-35442-7_10,Chapter,
Impact of Sybil Attack on Software-Defined Vehicular Fog Computing (SDVF) for an Emergency Vehicle Scenario,Inventive Communication and Computational Technologies,,,,10.1007/978-981-19-4960-9_61,L. Jai VinitaV. Vetriselvi,2023,http://link.springer.com/chapter/10.1007/978-981-19-4960-9_61,Chapter,
DDoS Detection in ONOS SDN Controller Using Snort,ICT with Intelligent Applications,,,,10.1007/978-981-19-3571-8_17,Mukesh KumarAbhinav Bhandari,2023,http://link.springer.com/chapter/10.1007/978-981-19-3571-8_17,Chapter,
Optimal Controller Selection Scheme Using Artificial Bee Colony and Apriori Algorithms in SDN,Knowledge Management in Organisations,,,,10.1007/978-3-031-34045-1_28,Kyung Tae Kim,2023,http://link.springer.com/chapter/10.1007/978-3-031-34045-1_28,Chapter,
F-SDNGR: Fog with SDN-Based Geographical Routing Enhances the Reliable Routing in Vehicular Ad Hoc Network (VANET),Proceedings of International Conference on Communication and Computational Technologies,,,,10.1007/978-981-99-3485-0_46,S. KarthikeyiniM. RupaS. AthiraM. Ravikumar,2023,http://link.springer.com/chapter/10.1007/978-981-99-3485-0_46,Chapter,
Towards the Implementation of Traffic Engineering in SDN: A Practical Approach,Inventive Systems and Control,,,,10.1007/978-981-99-1624-5_11,U. PrabuV. Geetha,2023,http://link.springer.com/chapter/10.1007/978-981-99-1624-5_11,Chapter,
Disjoint Routing Algorithms: A Systematic Literature Review,Towards new e-Infrastructure and e-Services for Developing Countries,,,,10.1007/978-3-031-34896-9_11,Adoum YoussoufDaouda AhmatMahamat Borgou,2023,http://link.springer.com/chapter/10.1007/978-3-031-34896-9_11,Chapter,
SDN-Based Cryptographic Client Authentication: A New Approach to DHCP Starvation Mitigation,Innovations in Data Analytics,,,,10.1007/978-981-99-0550-8_41,Gilbert C. UramaChiagoziem C. UkwuomaMd Belal Bin HeyatVictor K. AgbesiFaijan AkhtarMuhammed Amin AbdullahNitish PathakNeelam SharmaSoumi Dutta,2023,http://link.springer.com/chapter/10.1007/978-981-99-0550-8_41,Chapter,
Research and Development of Bilinear QoS Routing Model over Disjoint Paths with Bandwidth Guarantees in SDN,Advances in Computer Science for Engineering and Education VI,,,,10.1007/978-3-031-36118-0_20,Oleksandr LemeshkoOleksandra YeremenkoMaryna YevdokymenkoBatoul Sleiman,2023,http://link.springer.com/chapter/10.1007/978-3-031-36118-0_20,Chapter,
Deep Reinforcement Learning Based Congestion Control Mechanism for SDN and NDN in Satellite Networks,"Mobile Wireless Middleware, Operating Systems and Applications",,,,10.1007/978-3-031-34497-8_2,Ziyang XingHui QiXiaoqiang DiJinyao LiuLigang Cong,2023,http://link.springer.com/chapter/10.1007/978-3-031-34497-8_2,Chapter,
In-Band Networking and Fault Adjustment Mechanism of SDN System Based on ONOS and P4,Emerging Networking Architecture and Technologies,,,,10.1007/978-981-19-9697-9_25,Xu HuangWei NiuKuo GuoJia Chen,2023,http://link.springer.com/chapter/10.1007/978-981-19-9697-9_25,Chapter,
An Analytical Queuing Model Based on SDN for IoT Traffic in 5G,Advanced Information Networking and Applications,,,,10.1007/978-3-031-28694-0_42,Aliyu Lawal AliyuJim Diockou,2023,http://link.springer.com/chapter/10.1007/978-3-031-28694-0_42,Chapter,
Make Before Degrade: A Context-Aware Software-Defined WiFi Handover,Advanced Information Networking and Applications,,,,10.1007/978-3-031-28451-9_49,Víctor M. G. MartínezRafael S. GuimarãesRicardo C. MelloAlexandre P. do CarmoRaquel F. VassalloRodolfo VillaçaMoisés R. N. RibeiroMagnos Martinello,2023,http://link.springer.com/chapter/10.1007/978-3-031-28451-9_49,Chapter,
Analysis and Evaluation of Security and Privacy Threats in High Speed Communication Network,International Conference on Innovative Computing and Communications,,,,10.1007/978-981-19-2535-1_39,Pravir ChitreSrinivasan Sriramulu,2023,http://link.springer.com/chapter/10.1007/978-981-19-2535-1_39,Chapter,
Detection of SDN Flow Rule Conflicts Based on Knowledge Graph,Emerging Networking Architecture and Technologies,,,,10.1007/978-981-19-9697-9_8,Siyun LiangJian Su,2023,http://link.springer.com/chapter/10.1007/978-981-19-9697-9_8,Chapter,
A Data Centre Traffic Scheduling Algorithm Based on Task Type,"Proceedings of the International Conference on Internet of Things, Communication and Intelligent Technology",,,,10.1007/978-981-99-0416-7_74,Rixuan QiuShuang WangSitong JingXin ZhouNan LinBaoming Yao,2023,http://link.springer.com/chapter/10.1007/978-981-99-0416-7_74,Chapter,
Using Machine Learning for Detecting Timing Side-Channel Attacks in SDN,Mobile Internet Security,,,,10.1007/978-981-99-4430-9_13,Faizan ShoaibYang-Wai ChowElena Vlahu-GjorgievskaChau Nguyen,2023,http://link.springer.com/chapter/10.1007/978-981-99-4430-9_13,Chapter,
Federated Learning Based Secured Computational Offloading in Cyber-Physical IoST Systems,Recent Trends in Image Processing and Pattern Recognition,,,,10.1007/978-3-031-23599-3_26,Shivani GabaIshan BuddhirajaVimal KumarAaisha Makkar,2023,http://link.springer.com/chapter/10.1007/978-3-031-23599-3_26,Chapter,
Detection of Log4j Attack in SDN Environment,Information and Communication Technology for Competitive Strategies (ICTCS 2022),,,,10.1007/978-981-19-9638-2_65,G. Abilesh RajaR. HarishK. PraveenM. Patel,2023,http://link.springer.com/chapter/10.1007/978-981-19-9638-2_65,Chapter,
A Fuzzy System Based Routing Protocol to Improve WSN Performances,Towards new e-Infrastructure and e-Services for Developing Countries,,,,10.1007/978-3-031-34896-9_3,Bakary Hermane Magloire SanouMahamadi BoulouTiguiane Yélémou,2023,http://link.springer.com/chapter/10.1007/978-3-031-34896-9_3,Chapter,
"Emerging Network Technologies for Digital Transformation: 5G/6G, IoT, SDN/IBN, Cloud Computing, and Blockchain",Emerging Networking in the Digital Transformation Age,,,,10.1007/978-3-031-24963-1_1,Mykola BeshleyMikhailo KlymashIlona SchermHalyna BeshleyYuriy Shkoropad,2023,http://link.springer.com/chapter/10.1007/978-3-031-24963-1_1,Chapter,
Secure East-West Communication to Authenticate Mobile Devices in a Distributed and Hierarchical SDN,Hybrid Intelligent Systems,,,,10.1007/978-3-031-27409-1_114,Maroua MoatemriHamdi EltaiefAli El KamelHabib Youssef,2023,http://link.springer.com/chapter/10.1007/978-3-031-27409-1_114,Chapter,
A Detailed Study on a Software-Based Fog Network-Based Delay-Tolerant Data Transmission Model,Proceedings of Third International Conference on Sustainable Expert Systems,,,,10.1007/978-981-19-7874-6_44,Kotari SrideviJ. KavithaG. Charles BabuYugandhar GarapatiSrisailapu D. Vara Prasad,2023,http://link.springer.com/chapter/10.1007/978-981-19-7874-6_44,Chapter,
SDN Southbound Protocols: A Comparative Study,Emerging Trends in Intelligent Systems & Network Security,,,,10.1007/978-3-031-15191-0_39,Lamiae BoukraaSafaa MahrachKhalid El MakkaouiRedouane Esbai,2023,http://link.springer.com/chapter/10.1007/978-3-031-15191-0_39,Chapter,
HUM: A Novel Algorithm Based in Blockchain for Security in SD-WAN Controller,Proceedings of Eighth International Congress on Information and Communication Technology,,,,10.1007/978-981-99-3243-6_37,Jorge O. Ordoñez-OrdoñezLuis F. Guerrero-VásquezPaul A. Chasi-PesántezDavid P. Barros-PiedraEdwin J. Coronel-GonzálezBrayan F. Peñafiel-Pinos,2023,http://link.springer.com/chapter/10.1007/978-981-99-3243-6_37,Chapter,
Machine Learning Method for DDoS Detection and Mitigation in a Multi-controller SDN Environment Using Cloud Computing,Intelligent Systems Design and Applications,,,,10.1007/978-3-031-35507-3_54,Ameni ChetouaneKamel KarouiGhayth Nemri,2023,http://link.springer.com/chapter/10.1007/978-3-031-35507-3_54,Chapter,
Resilience Improvement by Traffic Engineering Fault-Tolerant Routing in Programmable Networks,Progress in Advanced Information and Communication Technology and Systems,,,,10.1007/978-3-031-16368-5_12,Oleksandr LemeshkoOleksandra YeremenkoMaryna YevdokymenkoAmal MersniValentyn LemeshkoMykhailo Persikov,2023,http://link.springer.com/chapter/10.1007/978-3-031-16368-5_12,Chapter,
Centrality Based Algorithms for Controller Placements in Software Defined Wide Area Networks,Towards new e-Infrastructure and e-Services for Developing Countries,,,,10.1007/978-3-031-34896-9_1,Isaiah O. AdebayoMatthew O. AdigunPragasen Mudali,2023,http://link.springer.com/chapter/10.1007/978-3-031-34896-9_1,Chapter,
Overview of Data Center Link Load Balancing Technology Based on SDN,IoT Based Control Networks and Intelligent Systems,,,,10.1007/978-981-19-5845-8_41,Feifan HaoShan JingChuan Zhao,2023,http://link.springer.com/chapter/10.1007/978-981-19-5845-8_41,Chapter,
Enhanced Machine Learning-Based SDN Controller Framework for Securing IoT Networks,Advanced Information Networking and Applications,,,,10.1007/978-3-031-28694-0_6,Neder KarmousMohamed Ould-Elhassen AoueileyineManel AbdelkaderNeji Youssef,2023,http://link.springer.com/chapter/10.1007/978-3-031-28694-0_6,Chapter,
Research on Reliable Transmission Based on UDP in Industrial SDN,"7th International Conference on Computing, Control and Industrial Engineering (CCIE 2023)",,,,10.1007/978-981-99-2730-2_69,Tengbin LinDie LiuJiuqiang Xu,2023,http://link.springer.com/chapter/10.1007/978-981-99-2730-2_69,Chapter,
Scalable and Reliable Orchestration for Balancing the Workload Among SDN Controllers,Proceedings of International Conference on Information Technology and Applications,,,,10.1007/978-981-19-9331-2_40,José Moura,2023,http://link.springer.com/chapter/10.1007/978-981-19-9331-2_40,Chapter,
Creation of SDIoT Testbed for DDoS Attack Using Mininet: Experimental Study,Pervasive Computing and Social Networking,,,,10.1007/978-981-19-2840-6_57,B. KeerthanaMamatha BalachandraHarishchandra HebbarBalachandra Muniyal,2023,http://link.springer.com/chapter/10.1007/978-981-19-2840-6_57,Chapter,
Performance and Security Evaluation of OpenDaylight and ONOS,Advances on Intelligent Computing and Data Science,,,,10.1007/978-3-031-36258-3_41,Siqi LiuShao Ying Zhu,2023,http://link.springer.com/chapter/10.1007/978-3-031-36258-3_41,Chapter,
Domain-Specific Programming Router Model,Emerging Networking Architecture and Technologies,,,,10.1007/978-981-19-9697-9_3,Zhongpei LiuGaofeng LvJichang WangXiangrui Yang,2023,http://link.springer.com/chapter/10.1007/978-981-19-9697-9_3,Chapter,
A Framework for DDoS Attack Detection in SDN-Based IoT Using Hybrid Classifier,"Machine Learning, Image Processing, Network Security and Data Sciences",,,,10.1007/978-981-19-5868-7_67,Pinkey ChauhanMithilesh Atulkar,2023,http://link.springer.com/chapter/10.1007/978-981-19-5868-7_67,Chapter,
SDN-Based Cyber Deception Deployment for Proactive Defense Strategy Using Honey of Things and Cyber Threat Intelligence,Intelligence of Things: Technologies and Applications,,,,10.1007/978-3-031-46749-3_26,Nghi Hoang KhoaHien Do HoangKhoa Ngo-KhanhPhan The DuyVan-Hau Pham,2023,http://link.springer.com/chapter/10.1007/978-3-031-46749-3_26,Chapter,
User Credibility-Based Trust Model for 5G Wireless Networks,Intelligent Communication Technologies and Virtual Mobile Networks,,,,10.1007/978-981-19-1844-5_23,Shivanand V. ManjaragiS. V. Saboji,2023,http://link.springer.com/chapter/10.1007/978-981-19-1844-5_23,Chapter,
A Fuzzy-Based System for Selection of Radio Access Technologies in 5G Wireless Networks: Effect of Security Parameter on Quality of Experience Assessment,Advances in Intelligent Networking and Collaborative Systems,,,,10.1007/978-3-031-40971-4_20,Phudit AmpriritShunya HigashiErmioni QafzeziMakoto IkedaKeita MatsuoLeonard Barolli,2023,http://link.springer.com/chapter/10.1007/978-3-031-40971-4_20,Chapter,
Techno-Economic Assessment in Communications: New Challenges,Intelligent Computing,,,,10.1007/978-3-031-37963-5_11,Carlos BendichoDaniel Bendicho,2023,http://link.springer.com/chapter/10.1007/978-3-031-37963-5_11,Chapter,
Ensembled Machine Learning Techniques for DDoS Detection in SDN,Proceedings of Third International Conference on Advances in Computer Engineering and Communication Systems,,,,10.1007/978-981-19-9228-5_32,P. Tarakanadha ReddyP. V. ShaliniV. Radha,2023,http://link.springer.com/chapter/10.1007/978-981-19-9228-5_32,Chapter,
SDN Framework for Efficient Latency-Aware Topology Discovery in ISTN,Intelligent Sustainable Systems,,,,10.1007/978-981-99-1726-6_2,V. DeepaB. Sivakumar,2023,http://link.springer.com/chapter/10.1007/978-981-99-1726-6_2,Chapter,
A Systematic Review on Fog Computing Security Algorithms on Current IoT Applications and Solutions,Deep Sciences for Computing and Communications,,,,10.1007/978-3-031-27622-4_5,V. BalajiP. Selvaraj,2023,http://link.springer.com/chapter/10.1007/978-3-031-27622-4_5,Chapter,
